POLITICAL_UNIT,NAME,WGMS_ID,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,GLACIER_REGION_CODE,GLACIER_SUBREGION_CODE
AR,AGUA NEGRA,4532,DESERT ANDES,JACHAL BASIN,-30.1649,-69.8094,6,3,8,SE,SE,,,SAN,SAN-02
AR,ALERCE,1346,NORTHERN PATAGONIA,TRONADOR,-41.17,-71.82,5,3,4,E,SE,,,SAN,SAN-02
AR,ALFA,10453,CENTRAL ANDES,TUPUNGATO BASIN,-33.0769,-70.0649,6,3,6,NE,NE,,,SAN,SAN-02
AR,AMEGHINO,3800,PATAGONIAN ANDES,LAGO ARGENTINO,-50.455,-73.315,4,2,4,N,E,,,SAN,SAN-01
AR,AZUFRE,2851,CORDILLERA PRINCIPAL,PLANCHON-PETEROA,-35.29,-70.55,5,3,8,E,E,,,SAN,SAN-02
AR,BAJO DEL PLOMO,10455,CENTRAL ANDES,TUPUNGATO BASIN,-33.0117,-69.9658,5,1,7,SE,SW,,,SAN,SAN-02
AR,BETA,10454,CENTRAL ANDES,TUPUNGATO BASIN,-33.0875,-70.0567,6,0,6,NE,NE,,,SAN,SAN-02
AR,BONETE S,1348,,,-41.45,-71,6,4,6,S,S,,,SAN,SAN-02
AR,BROWN SUPERIOR,3903,CENTRAL ANDES,CORDILLERA DE COLANGUIL,-29.983,-69.642,6,3,8,E,NE,,"Data from Cabrera & Leiva (2013, subm.) Ann. Glaciol. 54 (63).",SAN,SAN-02
AR,CAMISA,3591,CENTRAL ANDES,TUNUYAN BASIN,-33.7714,-69.8657,5,2,9,S,SE,,,SAN,SAN-02
AR,CANITO,4529,CENTRAL ANDES,CORDILLERA FRONTAL,-29.3673,-70.0086,6,2,8,SE,SE,,Binational glacier (CL/AR) reported as a unit.,SAN,SAN-02
AR,CANON HISPANO,3592,CORDILLERA PRINCIPAL,VO. SAN JOSE,-33.4712,-69.5059,5,2,8,NE,NE,,,SAN,SAN-02
AR,CONCONTA NORTE,3902,CENTRAL ANDES,CORDILLERA DE COLANGUIL,-29.976,-69.645,6,3,8,E,E,,"Data from Cabrera & Leiva (2013, subm.) Ann. Glaciol. 54 (63).",SAN,SAN-02
AR,DE LOS TRES,1675,PATAGONIA,SANTA CRUZ BASIN,-49.33,-73,5,4,4,SE,SE,,Data from V. Popovnin.,SAN,SAN-01
AR,FRIAS,1347,NORTHERN PATAGONIA,TRONADOR,-41.15,-71.83,5,3,8,NE,E,,,SAN,SAN-02
AR,FRIAS,1661,PATAGONIA,S.PAT.ICEFIELD,-50.75,-75.08,4,2,8,E,E,,"Entry from former field AUTHORS: ""G. CASASSA, A. RIVERA""",SAN,SAN-01
AR,GRANDE DEL NEVADO DEL PLOMO,3304,CENTRAL ANDES,TUPUNGATO BASIN,-33.1208,-70.0331,5,2,7,E,NE,,Surging glacier.,SAN,SAN-02
AR,GUSSFELDT,2848,CORDILLERA FRONTAL,ACONCAGUA,-32.61,-70.03,5,2,6,E,E,,,SAN,SAN-02
AR,LAGO DEL DESIERTO I,3713,PATAGONIAN ANDES,LAGO DEL DESIERTO,-49.0532,-72.9137,6,3,8,SE,SE,,,SAN,SAN-01
AR,LAGO DEL DESIERTO II,3714,PATAGONIAN ANDES,LAGO DEL DESIERTO,-49.0613,-72.9234,6,3,8,SE,SE,,,SAN,SAN-01
AR,LAGO DEL DESIERTO III,3715,PATAGONIAN ANDES,LAGO DEL DESIERTO,-49.07,-72.93,6,3,8,SE,SE,,,SAN,SAN-01
AR,LOS AMARILLOS,3904,CENTRAL ANDES,CORDILLERA FRONTAL,-29.2963,-69.9954,6,3,8,SE,SE,,Data from Cabrera & Leiva (2008).,SAN,SAN-02
AR,MANSO,1345,NORTHERN PATAGONIA,TRONADOR,-41.18,-71.87,5,0,7,SE,SE,,,SAN,SAN-02
AR,MARMOLEJO,3590,CENTRAL ANDES,TUNUYAN BASIN,-33.7308,-69.8573,5,3,9,SE,SE,,,SAN,SAN-02
AR,MARTIAL ESTE,2000,ANDES FUEGUINOS,MONTES MARTIAL,-54.78,-68.4,6,4,6,SE,SE,917,J. Strelin: MARTIAL ESTE is one out of the four ice masses known as MARTIAL GLACIER.,SAN,SAN-01
AR,NARVAEZ GRANDE,3799,PATAGONIAN ANDES,SIERRA DE SANGRA,-48.4716,-72.3397,5,2,4,E,E,,,SAN,SAN-01
AR,PENON,2850,CORDILLERA PRINCIPAL,PLANCHON-PETEROA,-35.27,-70.56,5,2,5,E,NE,,,SAN,SAN-02
AR,PIEDRAS BLANCAS,3716,PATAGONIAN ANDES,CERRO FITZ ROY,-49.2624,-73.0116,5,3,4,E,E,,,SAN,SAN-01
AR,PILOTO ESTE,3589,ANDES CENTRALES,CORDILLERA PRINCIPAL,-32.5887,-70.1421,5,3,8,S,S,,A mass balance programme is run on this eastern tongue of Piloto Glacier.,SAN,SAN-02
AR,POTRERILLOS,4530,CENTRAL ANDES,CORDILLERA FRONTAL,-29.3896,-70.0102,6,3,8,SE,SE,,Binational glacier (CL/AR) reported as a unit.,SAN,SAN-02
AR,SALINILLAS,3594,CORDILLERA PRINCIPAL,VO. SAN JOSE,-33.5102,-69.5171,5,2,9,SE,SE,,,SAN,SAN-02
AR,SAN JOSE,3593,CENTRAL ANDES,TUNUYAN BASIN,-33.8211,-69.8762,5,2,9,SE,SE,,,SAN,SAN-02
AR,SAN LORENZO SUR,3798,PATAGONIAN ANDES,MONTE SAN LORENZO,-47.6334,-72.3034,5,2,4,SE,S,,,SAN,SAN-01
AR,TORRE,3717,PATAGONIAN ANDES,CERRO TORRE,-49.325,-73.07,1,3,4,E,E,,,SAN,SAN-01
AR,TORTOLAS,4531,CENTRAL ANDES,CORDILLERA FRONTAL,-29.9369,-69.8856,6,3,8,E,E,,,SAN,SAN-02
AR,TUPUNGATO,4528,ANDES CENTRAL,TUPUNGATO BASIN,-33.3509,-69.723,5,0,7,SE,NE,,,SAN,SAN-02
AR,TUPUNGATO 01,2852,ANDES CENTRAL,TUPUNGATO BASIN,-33.39,-69.75,5,0,7,SE,NE,4528,"The form corresponds to a single accumulation area with serveral terminus, in a tipical volcano morphology.",SAN,SAN-02
AR,TUPUNGATO 02,2853,ANDES CENTRAL,TUPUNGATO BASIN,-33.38,-69.75,5,0,7,SE,E,4528,"The form corresponds to a single accumulation area with serveral terminus, in a tipical volcano morphology.",SAN,SAN-02
AR,TUPUNGATO 03,2854,ANDES CENTRAL,TUPUNGATO BASIN,-33.36,-69.75,5,0,7,E,NE,4528,"The form corresponds to a single accumulation area with serveral terminus, in a tipical volcano morphology.",SAN,SAN-02
AR,TUPUNGATO 04,2855,ANDES CENTRAL,TUPUNGATO BASIN,-33.34,-69.75,5,0,7,NE,NE,4528,"The form corresponds to a single accumulation area with serveral terminus, in a tipical volcano morphology.",SAN,SAN-02
